Cod Mec,Escola,Gre,Município
26181282,Escola Tecnica Estadual Jose Alencar Gomes da Silva,Metropolitano Norte,Paulista
26181320,Escola Estadual Dr Miguel Arraes de Alencar,Mata Sul(Palmares),Sirinhaem
26181649,Escola de Referencia em Ensino Medio Quilombola Vereadora Alzira Tenorio do Amaral,Sertao do Moxoto Ipanema(Arcoverde),Custodia
26181975,Escola de Referencia em Ensino Medio Djalma Macedo Gomes,Sertao do Araripe(Araripina),Santa Filomena
26182084,Escola Estadual Jose Rodrigues de Barros - Mestre Zuza,Mata Sul(Palmares),Sao Jose da Coroa Grande
26182092,Escola Estadual Escritor Maximiano Accioly Campos,Mata Sul(Palmares),Sirinhaem
26182106,Escola Tecnica Estadual Antonio Dourado Cavalcanti,Agreste Meridional(Garanhuns),Lajedo
26183021,Escola Tecnica Estadual Miguel Batista,Recife Norte,Recife
26183030,Escola Estadual de Matriz da Luz,Metropolitano Sul,Sao Lourenco da Mata
26184699,Escola Estadual Colette Catta,Metropolitano Sul,Cabo de Santo Agostinho
26185059,Escola de Referencia em Ensino Medio Genifa Felisbela Nobre,Sertao do Araripe(Araripina),Ipubi
26185113,Escola Tecnica Estadual Pedro Leao Leal,Sertao Central(Salgueiro),Sao Jose do Belmonte
26185660,Escola Tecnica Estadual Governador Eduardo Campos - Sao Bento do Una - Garanhuns,Agreste Meridional(Garanhuns),Sao Bento do Una
26185725,Escola Estadual Luiz Gomes Diniz,Sertao do Araripe(Araripina),Bodoco
26185741,Escola Tecnica Estadual Professor Francisco Jonas Feitosa Costa,Sertao do Moxoto Ipanema(Arcoverde),Arcoverde
26185750,Escola Tecnica Estadual Jornalista Cyl Gallindo,Sertao do Moxoto Ipanema(Arcoverde),Buique
26185768,Escola Tecnica Estadual Luiz Alves Lacerda,Metropolitano Sul,Cabo de Santo Agostinho
26185806,Escola Tecnica Estadual Governador Eduardo Campos,Metropolitano Sul,Sao Lourenco da Mata
26187051,Escola Tecnica Estadual Ministro Fernando Lyra,Agreste Centro Norte(Caruaru),Caruaru
26185946,Escola Tecnica Estadual Advogado Jose Davi Gil Rodrigues,Metropolitano Sul,Jaboatao Dos Guararapes
26186004,Escola Tecnica Estadual Senador Wilson Campos,Mata Norte(Nazare da Mata),Paudalho
26186241,Escola de Referencia em Ensino Medio Professor Jordao emerenciano,Recife Sul,Recife
26186411,Escola Estadual Indigena Josefa Alice da Conceicao,Sertao do Submedio Sao Francisco(Floresta),Itacuruba
26186446,Escola Estadual Indigena Quiteria Maria de Jesus,Gre Sertao do Submedio Sao Francisco - Floresta,Jatoba
26050331,Escola Tomas Alves,Agreste Centro Norte(Caruaru),Belo Jardim
26187566,Escola Estadual Claudio Rodrigues Galindo,Sertao Medio Sao Francisco(Petrolina),Afranio
26187825,Escola Tecnica Estadual Jurandir Bezerra Lins,Metropolitano Norte,Igarassu
